last_update,23.07.2026 20:42
91,15 Plus 128GB Green,2060
92,15 Plus 128GB Pink,2060
93,15 Plus 128GB Yellow,2000
94,14 128GB Blue,1800
95,14 128GB Red,1670
96,14 128GB yellow,1670
97,14 256GB Midnight,1910
98,13/128 GB midnight,1620
99,iPad 11 128GB WiFi blue,1360
100,iPad 11 128GB WiFi silver,1390
101,iPad 11 128GB WiFi pink,1400
102,iPad 11 128GB WiFi yellow,1380
103,iPad 11 256GB WiFi blue,1650
104,iPad 11 256GB WiFi silver,1620
105,iPad 11 256GB WiFi yellow,1560
106,iPad 11 256GB WiFi pink,1620
107,iPad Air 11 (M4) 2026 128 Space Gray,2170
108,iPad Air 11 (M4) 2026 128 Purple,2200
109,iPad Air 11 (M4) 2026 128 blue,2130
110,iPad Air 11 (M4) 2026 128 Starlight,2270
111,iPad Air 11 (M4) 2026 256 Space Gray,2550
112,iPad Air 11 (M4) 2026 256 Purple,2630
113,iPad Air 11 (M4) 2026 256 Blue,2550
114,iPad Air 11 (M4) 2026 256 Starlight,2650
115,iPad Air 13 (M4) 2026 128 Space Gray,2610
116,iPad Air 13 (M4) 2026 128 starlight,2610
117,iPad Air 13 (M4) 2026 128 Blue,2560
118,iPad Air 13 (M4) 2026 128 Purple,2580
119,iPad Pro 11 M5 256 Black,3450
120,iPad Pro 11 M5 256 Silver,3450
121,iPad Pro 13 M5 256 Black,4110
122,iPad Pro 13 M5 256 Silver,4200
123,MacBook Neo 13 8/256 Blush,2290
124,MacBook Neo 13 8/256 Indigo,2230
125,MacBook Neo 13 8/256 Citrus,2290
126,MacBook Neo 13 8/256 Silver,2240
127,MacBook Neo 13 8/512 Blush,2750
128,MacBook Neo 13 8/512 Indigo,2580
129,MacBook Neo 13 8/512 Citrus,2610
130,MacBook Neo 13 8/512 Silver,2630
131,Air 13 M4/16/256 Starlight,3460
132,Air 13 M4/16/256 Sky Blue,3460
133,Air 13 M4/16/256 Midnight,3460
134,Air 13 M4/16/256 silver,3460
135,Air 13 M5 16/512 Midnight,3750
136,Air 13 M5 16/512 Silver,3820
137,Air 13 M5 16/512 sky blue,3750
138,Air 13 M5 16/512 starlight,3810
139,Air 13 M5 16/1TB Midnight,4260
140,Air 13 M5 16/1TB Silver,4430
141,Air 13 M5 16/1TB sky blue,4240
142,Air 13 M5 16/1TB starlight,4240
143,Air 13 M5 24/1TB Midnight,5250
144,Air 13 M5 24/1TB Silver,5250
145,Air 13 M5 24/1TB sky blue,5250
146,Air 15 M5 2026 16/512 Midnight,4470
147,Air 15 M5 2026 16/512 Starlight,4430
148,Air 15 M5 2026 16/512 sky blue,4520
149,Air 15 M5 2026 16/512 silver,4530
150,Air 15 M5 2026 16/1TB Midnight,5240
151,Air 15 M5 2026 16/1TB Sky Blue,5240
152,Air 15 M5 2026 16/1TB Silver,5240
153,Air 15 M5 2026 16/1TB Starlight,5240
154,SE3 40 Midnight 2025,830
155,SE3 40 Starlight 2025,840
156,SE3 44 Midnight 2025,880
157,SE3 44 Starlight 2025,910
158,S11 42 Jet Black,1070
159,S11 42 Space Gray,1070
160,S11 42 Silver,1120
161,S11 42 Rose Gold,1070
162,S11 46 Jet Black,1170
163,S11 46 Space Gray,1170
164,S11 46 Silver,1170
165,S11 46 Rose Gold,1160
166,AirPods 4,420
167,AirPods 4 ANC,570
168,AirPods Pro 3,670
169,AirPods Pro 2(USB),560
170,AirPods Max Blue,1600
171,AirPods Max Purple,1520
172,AirPods Max Orange,1520
173,AirPods Max Midnight,1500
174,AirPods Max starlight,1520
175,AirPods MAX 2 (2026) Midnight,1630
176,AirPods MAX 2 (2026) Starlight,1630
177,AirPods MAX 2 (2026) Blue,1630
178,AirPods MAX 2 (2026) Purple,1630
179,AirPods MAX 2 (2026) Orange,1630
180,Pencil 3gen usbC,350
181,Pencil Pro,410
182,Adapter Apple 20W,70
183,Magic Mouse (white),350
184,Magic Mouse (grey),410
185,AirTag 1 Шт,230
186,AirTag 4 Шт,330
187,AirTag 4Pac 2Gen,460
